user_id,course_id,user_index,course_index,preference
U_3509,C_696994,44,0,2.94
U_3509,C_677243,44,169,2.88
U_3509,C_682210,44,172,2.64
U_3509,C_680717,44,1498,2.58
U_3509,C_681715,44,655,2.49
U_3509,C_677043,44,407,2.31
U_3509,C_680979,44,647,1.92
U_3516,C_696908,1353,44,2.97
U_3607,C_677241,769,905,2.94
U_3608,C_680931,510,413,2.88
U_3633,C_840084,770,233,3.0
U_3652,C_677099,61,353,2.97
U_3652,C_697165,61,158,2.55
U_3652,C_682346,61,218,2.31
U_3652,C_681362,61,473,2.28
U_3652,C_696801,61,1211,2.16
U_3652,C_682313,61,1173,2.1
U_3652,C_947149,61,393,2.04
U_3715,C_735351,137,7,3.0
U_3715,C_697096,137,105,2.73
U_3715,C_696976,137,122,2.61
U_3755,C_682595,1007,567,2.97
U_3836,C_696674,1014,799,2.97
U_3850,C_676676,212,47,2.85
U_3850,C_674923,212,454,2.76
U_3850,C_696525,212,1203,2.64
U_3851,C_948468,779,61,3.0
U_3866,C_682466,180,102,2.97
U_3866,C_707119,180,70,2.94
U_3866,C_707032,180,94,2.82
U_3933,C_696994,1019,0,2.94
U_3936,C_697821,182,13,2.94
U_4081,C_676932,1408,4,3.0
U_4117,C_801446,123,1277,2.79
U_4154,C_682822,518,794,2.97
U_4164,C_697091,1411,79,2.97
U_4232,C_770784,642,46,2.91
U_4243,C_676649,95,84,2.7
U_4243,C_697152,95,683,2.4
U_4243,C_696994,95,0,2.37
U_4243,C_677030,95,406,2.28
U_4367,C_697091,155,79,2.79
U_4367,C_680980,155,1144,2.64
U_4371,C_1755912,1023,618,2.94
U_4381,C_1718815,156,151,2.85
U_4381,C_681200,156,1527,2.67
U_4391,C_917311,1024,714,3.0
U_4391,C_696704,1024,223,2.97
U_4426,C_676656,1025,88,3.0
U_4436,C_674953,1027,285,3.0
U_4486,C_756646,375,331,2.94
U_4486,C_734050,375,1643,2.91
U_4486,C_1472684,375,1337,2.79
U_4528,C_1824376,435,1093,2.82
U_4528,C_1814140,435,1407,2.79
U_4566,C_676932,519,4,2.97
U_4576,C_697096,1028,105,2.97
U_4666,C_948141,1417,447,3.0
U_4728,C_756646,124,331,2.88
U_4728,C_1776301,124,1084,2.58
U_4728,C_1811839,124,1091,2.49
U_4757,C_754135,1420,505,2.97
U_4792,C_696927,790,52,3.0
U_4816,C_676651,1421,97,3.0
U_4831,C_677243,376,169,2.79
U_4847,C_677093,169,213,2.79
U_4847,C_682754,169,792,2.58
U_4865,C_862967,1031,513,3.0
U_4898,C_697754,138,1238,2.58
U_4908,C_1811739,29,877,3.0
U_4908,C_697130,29,38,2.85
U_4908,C_881462,29,711,2.82
U_4908,C_696855,29,57,2.49
U_4908,C_677095,29,128,2.13
U_4908,C_697096,29,105,2.01
U_4908,C_676917,29,314,1.92
U_4908,C_735157,29,28,1.86
U_4908,C_680762,29,37,1.74
U_4938,C_674971,792,239,3.0
U_4973,C_677047,237,153,2.79
U_4992,C_707031,139,6,2.97
U_4992,C_696682,139,175,2.91
U_4992,C_681345,139,651,2.85
U_4992,C_955163,139,20,2.67
U_4992,C_694136,139,15,2.61
U_4995,C_735308,437,1009,2.97
U_5034,C_674920,140,10,2.73
U_5034,C_681688,140,768,2.64
U_5049,C_682308,332,268,2.94
U_5049,C_697267,332,588,2.79
U_5176,C_1903962,438,1101,2.94
U_5176,C_681719,438,551,2.91
U_5182,C_696554,1425,56,3.0
U_5213,C_919146,87,846,2.67
U_5213,C_948262,87,1750,2.4
U_5213,C_681744,87,1548,2.25
U_5221,C_696679,1034,5,3.0
U_5257,C_696679,439,5,2.91
U_5257,C_948408,439,206,2.82
U_5266,C_674903,794,18,2.91
U_5375,C_1410117,1035,396,2.97
U_5400,C_677087,194,212,2.85
U_5400,C_694136,194,15,2.76
U_5403,C_697130,796,38,2.97
U_5403,C_696994,796,0,2.91
U_5408,C_854839,797,50,3.0
U_5408,C_696994,797,0,2.94
U_5424,C_676658,310,126,2.94
U_5424,C_696918,310,249,2.82
U_5424,C_696597,310,155,2.73
U_5435,C_676932,378,4,3.0
U_5435,C_697415,378,112,2.85
U_5551,C_1818546,440,1409,2.94
U_5631,C_682189,799,244,2.97
U_5686,C_697802,311,161,2.91
U_5686,C_746965,311,1256,2.76
U_5804,C_682546,1039,131,3.0
U_5804,C_682141,1039,554,2.97
U_5872,C_735317,525,275,2.91
U_5892,C_680754,271,240,2.67
U_5897,C_696679,272,5,3.0
U_5897,C_680752,272,262,2.91
U_5930,C_677019,273,127,2.67
U_5947,C_680757,526,264,2.94
U_5973,C_680731,59,354,2.73
U_5973,C_696554,59,56,2.04
U_5981,C_955163,1041,20,2.97
U_6064,C_943250,527,83,2.85
U_6068,C_696911,1436,33,2.97
U_6089,C_707031,1437,6,3.0
U_6120,C_680710,69,1133,2.88
U_6120,C_696927,69,52,2.73
U_6120,C_677243,69,169,2.37
U_6120,C_707077,69,1241,2.34
U_6120,C_697188,69,34,2.07
U_6141,C_735175,274,380,2.7
U_6147,C_696968,528,25,2.94
U_6147,C_2342532,528,628,2.85
U_6195,C_1017419,1438,725,2.91
U_6199,C_697068,1043,24,2.97
U_6203,C_845674,141,334,3.0
U_6203,C_948141,141,447,2.94
U_6214,C_735269,238,274,3.0
U_6214,C_682427,238,270,2.88
U_6214,C_697129,238,1620,2.73
U_6269,C_680788,529,640,3.0
U_6269,C_747064,529,202,2.97
U_6269,C_681452,529,358,2.91
U_6269,C_696732,529,675,2.85
U_6284,C_799800,441,95,2.82
U_6286,C_948430,55,450,2.97
U_6286,C_911160,55,843,2.91
U_6286,C_707369,55,1640,2.64
U_6286,C_948289,55,520,2.49
U_6286,C_676932,55,4,2.46
U_6286,C_948123,55,1743,1.89
U_6355,C_948419,379,150,3.0
U_6355,C_735351,379,7,2.85
U_6409,C_682458,443,41,2.91
U_6453,C_676635,530,311,3.0
U_6463,C_682170,531,417,2.85
U_6531,C_749807,532,504,2.94
U_6615,C_676897,335,1126,2.88
U_6700,C_697374,1442,80,2.97
U_6799,C_697395,170,229,2.88
U_6799,C_677031,170,118,2.61
U_6799,C_676664,170,64,2.55
U_6806,C_735351,70,7,3.0
U_6806,C_697191,70,327,2.67
U_6806,C_1738993,70,166,2.43
U_6806,C_898359,70,338,2.37
U_6883,C_840084,533,233,3.0
U_6883,C_697034,533,12,2.82
U_6980,C_697188,239,34,2.85
U_7010,C_866756,444,66,2.94
U_7010,C_697100,444,494,2.91
U_7010,C_697113,444,1618,2.85
U_7056,C_707022,240,199,2.73
U_7099,C_769273,536,1269,2.85
U_7173,C_1428968,804,14,3.0
U_7173,C_677146,804,32,2.91
U_7180,C_801443,1452,509,3.0
U_7256,C_697075,1047,104,3.0
U_7277,C_781494,23,164,2.76
U_7277,C_674912,23,453,2.73
U_7277,C_682256,23,267,2.52
U_7277,C_694140,23,320,2.43
U_7277,C_947257,23,518,2.28
U_7277,C_948219,23,722,2.22
U_7277,C_1428968,23,14,1.98
U_7277,C_948417,23,140,1.74
U_7277,C_676697,23,350,1.53
U_7277,C_1526890,23,727,1.5
U_7277,C_1903983,23,624,1.35
U_7277,C_681655,23,101,1.29
U_7312,C_697778,241,272,3.0
U_7312,C_696673,241,222,2.85
U_7312,C_682400,241,481,2.79
U_7312,C_819290,241,1025,2.67
U_7335,C_845947,648,1283,2.88
U_7382,C_948436,806,522,3.0
U_7460,C_770784,142,46,2.76
U_7460,C_1903985,142,29,2.52
U_7529,C_697374,380,80,2.94
U_7542,C_737493,214,1254,2.91
U_7542,C_694144,214,956,2.88
U_7551,C_911738,1457,607,2.97
U_7650,C_694136,15,15,2.73
U_7650,C_696972,15,179,2.13
U_7650,C_697039,15,92,2.04
U_7650,C_854832,15,87,1.95
U_7650,C_677045,15,76,1.86
U_7650,C_788575,15,49,1.53
U_7650,C_735338,15,821,1.32
U_7650,C_697791,15,2,1.0
U_7650,C_735441,15,823,1.0
U_7667,C_696954,649,121,2.94
U_7685,C_697045,1458,586,2.97
U_7716,C_697415,312,112,2.85
U_7716,C_707031,312,6,2.82
U_7747,C_1691412,650,1345,2.97
U_7747,C_1214863,650,861,2.94
U_7759,C_697778,807,272,2.97
U_7786,C_682523,651,419,3.0
U_7808,C_770766,242,508,2.85
U_7808,C_707081,242,17,2.7
U_7808,C_735251,242,1007,2.67
U_7809,C_931245,652,204,2.97
U_7825,C_866769,445,279,2.88
U_7903,C_682360,1462,292,2.97
U_7956,C_696955,1465,584,3.0
U_7957,C_735157,143,28,2.88
U_7957,C_682442,143,110,2.76
U_8014,C_1794464,276,9,2.61
U_8019,C_780629,76,253,2.79
U_8019,C_677146,76,32,2.67
U_8019,C_948468,76,61,2.61
U_8019,C_707456,76,231,2.16
U_8025,C_697068,183,24,2.73
U_8025,C_680747,183,638,2.64
U_8046,C_735269,277,274,2.94
U_8090,C_676661,654,255,3.0
U_8125,C_696697,655,486,2.91
U_8132,C_696704,1467,223,2.97
U_8220,C_682713,56,790,2.61
U_8235,C_696700,446,3,3.0
U_8235,C_676658,446,126,2.82
U_8429,C_948430,447,450,2.94
U_8429,C_681382,447,929,2.85
U_8462,C_1811832,1055,878,2.97
U_8465,C_1864068,657,1415,2.91
U_8558,C_681475,336,474,2.91
U_8558,C_676662,336,152,2.85
U_8558,C_680777,336,142,2.82
U_8635,C_1784729,658,1401,2.91
U_8659,C_697293,196,27,2.79
U_8672,C_905197,1471,1037,2.97
U_8702,C_1800063,812,621,2.91
U_8705,C_697096,313,105,3.0
U_8705,C_697110,313,496,2.82
U_8818,C_681702,111,1161,2.94
U_8818,C_696679,111,5,2.91
U_8818,C_681094,111,548,2.7
U_8818,C_1434547,111,862,2.52
U_8846,C_696724,243,16,2.85
U_8846,C_1552662,243,186,2.79
U_9006,C_734011,77,85,2.97
U_9006,C_681255,77,109,2.91
U_9006,C_682147,77,171,2.61
U_9006,C_927959,77,715,2.58
U_9006,C_747227,77,503,2.31
U_9012,C_697025,1063,103,2.94
U_9036,C_677019,216,127,2.88
U_9105,C_1806527,1064,116,2.94
U_9260,C_696506,1480,370,3.0
U_9266,C_696816,1066,1212,2.97
U_9266,C_676663,1066,629,2.94
U_9503,C_948417,815,140,3.0
U_9542,C_680731,448,354,2.76
U_9570,C_1123848,817,1058,2.94
U_9589,C_677243,1488,169,3.0
U_9719,C_676662,130,152,2.91
U_9719,C_680805,130,317,2.7
U_9719,C_947773,130,446,2.58
U_9726,C_911664,1491,844,3.0
U_9745,C_682704,1071,220,2.97
U_9787,C_697208,1072,159,3.0
U_9801,C_682648,1073,420,2.97
U_9942,C_676673,660,141,2.88
U_9967,C_681671,131,266,3.0
U_9967,C_696679,131,5,2.97
U_9967,C_808529,131,1278,2.91
U_10000,C_680963,1076,754,3.0
U_10007,C_1756063,820,208,2.94
U_10051,C_677019,822,127,3.0
U_10053,C_747696,382,300,2.91
U_10053,C_948289,382,520,2.88
U_10226,C_881314,1503,1700,3.0
U_10260,C_696673,184,222,2.97
U_10260,C_770738,184,19,2.88
U_10299,C_782555,1083,136,3.0
U_10309,C_707054,97,689,2.55
U_10312,C_682137,542,416,2.97
U_10312,C_697791,542,2,2.88
U_10362,C_676953,449,117,2.94
U_10364,C_682193,383,363,3.0
U_10364,C_734011,383,85,2.94
U_10368,C_680752,81,262,2.94
U_10368,C_697130,81,38,2.73
U_10368,C_680745,81,54,2.7
U_10368,C_697091,81,79,2.67
U_10368,C_697068,81,24,2.58
U_10368,C_707379,81,1641,2.28
U_10368,C_697791,81,2,2.25
U_10377,C_735273,824,381,3.0
U_10424,C_943250,825,83,2.97
U_10424,C_948422,825,1329,2.94
U_10431,C_932176,384,717,2.91
U_10513,C_697034,385,12,2.91
U_10513,C_770738,385,19,2.82
U_10525,C_682602,339,568,3.0
U_10537,C_1765585,245,1381,2.91
U_10537,C_948468,245,61,2.73
U_10577,C_697161,545,326,3.0
U_10669,C_676651,171,97,2.58
U_10682,C_696939,82,145,2.58
U_10682,C_697005,82,679,2.43
U_10682,C_696487,82,672,2.4
U_10683,C_696899,826,248,2.94
U_10830,C_680745,246,54,2.73
U_10852,C_697791,1090,2,2.97
U_11024,C_854870,218,834,2.76
U_11024,C_948216,218,858,2.73
U_11093,C_682222,1094,78,3.0
U_11100,C_682289,547,943,2.97
U_11100,C_883345,547,1,2.88
U_11170,C_883345,340,1,3.0
U_11202,C_682320,829,418,3.0
U_11203,C_770784,144,46,2.97
U_11203,C_948468,144,61,2.52
U_11560,C_696908,132,44,2.85
U_11560,C_696597,132,155,2.76
U_11638,C_696626,452,246,2.97
U_11638,C_697068,452,24,2.88
U_11667,C_697791,133,2,2.94
U_11667,C_697821,133,13,2.52
U_11673,C_707081,388,17,2.88
U_11680,C_911165,830,606,2.94
U_11725,C_682147,197,171,3.0
U_11725,C_947246,197,1313,2.82
U_11725,C_697821,197,13,2.64
U_11731,C_655852,0,1487,2.82
U_11731,C_769293,0,507,2.28
U_11731,C_696968,0,25,2.22
U_11731,C_697069,0,72,1.92
U_11731,C_707373,0,230,1.74
U_11731,C_682473,0,245,1.53
U_11731,C_735253,0,498,1.14
U_11731,C_680761,0,534,1.02
U_11731,C_679148,0,745,1.0
U_11731,C_758208,0,1266,1.0
U_11731,C_758221,0,1015,1.0
U_11731,C_681636,0,359,1.0
U_11731,C_799931,0,384,1.0
U_11731,C_797853,0,1022,1.0
U_11731,C_682754,0,792,1.0
U_11731,C_759037,0,1268,1.0
U_11731,C_735197,0,1250,1.0
U_11731,C_677146,0,32,1.0
U_11731,C_696855,0,57,1.0
U_11731,C_681754,0,243,1.0
U_11731,C_769301,0,705,1.0
U_11731,C_707379,0,1641,1.0
U_11731,C_756747,0,437,1.0
U_11731,C_707384,0,693,1.0
U_11731,C_682469,0,319,1.0
U_11731,C_680961,0,265,1.0
U_11731,C_682137,0,416,1.0
U_11731,C_682523,0,419,1.0
U_11731,C_696549,0,1595,1.0
U_11731,C_883345,0,1,1.0
U_11731,C_696841,0,67,1.0
U_11731,C_680968,0,646,1.0
U_11731,C_735111,0,1652,1.0
U_11731,C_735049,0,1646,1.0
U_11731,C_696586,0,573,1.0
U_11731,C_697152,0,683,1.0
U_11731,C_898310,0,713,1.0
U_11731,C_735123,0,1249,1.0
U_11731,C_893812,0,712,1.0
U_11731,C_898349,0,390,1.0
U_11731,C_682442,0,110,1.0
U_11731,C_680818,0,748,1.0
U_11731,C_707068,0,690,1.0
U_11731,C_696754,0,965,1.0
U_11731,C_677241,0,905,1.0
U_11731,C_735448,0,824,1.0
U_11731,C_682379,0,193,1.0
U_11731,C_680774,0,464,1.0
U_11731,C_674950,0,894,1.0
U_11731,C_696554,0,56,1.0
U_11731,C_788575,0,49,1.0
U_11731,C_934522,0,608,1.0
U_11731,C_943223,0,281,1.0
U_11731,C_943228,0,341,1.0
U_11731,C_948078,0,342,1.0
U_11731,C_936973,0,303,1.0
U_11731,C_948424,0,724,1.0
U_11731,C_948114,0,1053,1.0
U_11731,C_947252,0,60,1.0
U_11731,C_948411,0,138,1.0
U_11731,C_948423,0,343,1.0
U_11731,C_680823,0,539,1.0
U_11731,C_707032,0,94,1.0
U_11731,C_681678,0,143,1.0
U_11731,C_696954,0,121,1.0
U_11731,C_677043,0,407,1.0
U_11731,C_934534,0,850,1.0
U_11731,C_1683594,0,1064,1.0
U_11731,C_697653,0,1236,1.0
U_11731,C_697063,0,680,1.0
U_11731,C_1526890,0,727,1.0
U_11731,C_682595,0,567,1.0
U_11731,C_901922,0,1295,1.0
U_11731,C_696721,0,296,1.0
U_11731,C_676917,0,314,1.0
U_11731,C_1741560,0,867,1.0
U_11731,C_696947,0,1615,1.0
U_11731,C_1741534,0,1072,1.0
U_11731,C_948286,0,1752,1.0
U_11731,C_1720764,0,1347,1.0
U_11731,C_830571,0,1281,1.0
U_11731,C_680849,0,749,1.0
U_11731,C_784387,0,1019,1.0
U_11731,C_934496,0,1304,1.0
U_11731,C_1472684,0,1337,1.0
U_11731,C_948430,0,450,1.0
U_11731,C_947250,0,852,1.0
U_11731,C_1800063,0,621,1.0
U_11731,C_1776316,0,400,1.0
U_11731,C_1646044,0,729,1.0
U_11731,C_1806527,0,116,1.0
U_11731,C_676995,0,405,1.0
U_11731,C_1738818,0,866,1.0
U_11731,C_1527465,0,238,1.0
U_11731,C_1776283,0,1390,1.0
U_11731,C_682696,0,484,1.0
U_11731,C_680869,0,914,1.0
U_11731,C_676662,0,152,1.0
U_11731,C_1903983,0,624,1.0
U_11731,C_682193,0,363,1.0
U_11731,C_676820,0,256,1.0
U_11731,C_1738993,0,166,1.0
U_11731,C_696626,0,246,1.0
U_11731,C_697055,0,978,1.0
U_11731,C_936963,0,1719,1.0
U_11731,C_680759,0,91,1.0
U_11731,C_682322,0,1174,1.0
U_11731,C_1903980,0,1425,1.0
U_11731,C_936968,0,1720,1.0
U_11731,C_876712,0,1033,1.0
U_11731,C_682360,0,292,1.0
U_11731,C_676934,0,741,1.0
U_11731,C_1886674,0,1416,1.0
U_11731,C_2053613,0,886,1.0
U_11731,C_2256608,0,1113,1.0
U_11731,C_682275,0,1558,1.0
U_11731,C_2308102,0,1472,1.0
U_11731,C_2297243,0,1470,1.0
U_11731,C_2328543,0,525,1.0
U_11731,C_2286953,0,1115,1.0
U_11732,C_676656,40,88,2.76
U_11732,C_694136,40,15,2.28
U_11733,C_1904668,145,882,2.67
U_11736,C_676676,281,47,2.85
U_11737,C_1925896,104,884,2.37
U_11748,C_677185,99,744,2.61
U_11768,C_799796,831,43,2.97
U_11768,C_682302,831,479,2.94
U_11834,C_697034,668,12,2.97
U_11835,C_770738,1106,19,2.97
U_11863,C_879040,105,21,3.0
U_11863,C_696729,105,156,2.88
U_11863,C_854839,105,50,2.58
U_11869,C_948412,389,183,2.91
U_11895,C_696724,341,16,3.0
U_11904,C_707025,24,147,2.76
U_11904,C_676932,24,4,2.28
U_11904,C_697034,24,12,2.19
U_11904,C_735385,24,501,2.07
U_11904,C_1794464,24,9,1.86
U_11904,C_676648,24,349,1.62
U_11904,C_681475,24,474,1.29
U_11983,C_735107,1,377,2.76
U_11983,C_854843,1,234,2.37
U_11983,C_696753,1,322,2.07
U_11983,C_680972,1,755,1.98
U_11983,C_760442,1,123,1.83
U_11983,C_681520,1,931,1.0
U_11983,C_948421,1,521,1.0
U_11983,C_759007,1,826,1.0
U_11983,C_916843,1,1043,1.0
U_11983,C_696700,1,3,1.0
U_11983,C_854839,1,50,1.0
U_11983,C_697374,1,80,1.0
U_11983,C_1718815,1,151,1.0
U_11983,C_676937,1,30,1.0
U_11983,C_677249,1,62,1.0
U_11983,C_887103,1,336,1.0
U_11983,C_676697,1,350,1.0
U_11983,C_677185,1,744,1.0
U_11983,C_1912010,1,1430,1.0
U_11983,C_696697,1,486,1.0
U_11983,C_735244,1,299,1.0
U_11983,C_907965,1,841,1.0
U_11983,C_948411,1,138,1.0
U_12036,C_854839,146,50,2.76
U_12039,C_677010,552,31,2.97
U_12046,C_696826,134,177,2.91
U_12046,C_873864,134,53,2.76
U_12054,C_697468,454,687,3.0
U_12054,C_696685,454,576,2.88
U_12097,C_682344,554,1177,2.97
U_12097,C_917311,554,714,2.94
U_12097,C_697543,554,988,2.91
U_12118,C_682696,838,484,2.97
U_12414,C_694136,670,15,2.97
U_12562,C_696555,249,221,2.7
U_12579,C_770751,455,203,3.0
U_12587,C_1903985,125,29,2.67
U_12587,C_682512,125,365,2.61
U_12602,C_682586,558,132,3.0
U_12602,C_746985,558,276,2.97
U_12602,C_879093,558,602,2.94
U_12669,C_879040,48,21,2.64
U_12669,C_681034,48,215,2.37
U_12669,C_680933,48,77,2.19
U_12669,C_696700,48,3,2.13
