course_id,learn_count,avg_preference,course_name,category,teacher,description
C_916828,38,2.743,R语言数据分析,未标注,MOOCCubeX,数据赋人工系统以智能。《R语言数据分析》从问道、执具、博术三个方面，阐述机器学习/数据挖掘的方法论（道）、编程工具R语言（具）以及经典算法模型（术）。通过课程的学习，可一起领悟数据分析之哲理、掌握模型算法之要义、提升工程实践之素养，推开人工智能的大门，为同学们在机器学习/数据挖掘领域登堂入室奠定基础
C_677049,37,2.649,中国近现代史纲要,历史学,MOOCCubeX,不懂曾经苦难就不懂昨日的反抗与革命，不懂曾经动乱就不懂今日的改革与法治，本课程将为你概述1840年以来中国人民追求民族解放与复兴之路的伟大历程。
C_735342,37,2.605,经济学原理（微观部分）,理论经济学,MOOCCubeX,经济学原理主要是讲述经济学原理的微观部分，微观经济学是有关人的行动和个人与社会合作的一种理论模型和思维方式。本课程将系统介绍微观经济学的基本原理及其在现实生活中的应用。通过学习本门课程，可以帮助你了解生活的世界，可以用原理来指导经济实践，启发自身对经济现象进行分析和判断。
C_680762,37,2.604,数据科学导论,计算机科学与技术,MOOCCubeX,通向数据科学的大门从这里开启！全程真人动画，南国清华四位优秀老师精心制作，再立计算机慕课新标杆！
C_697130,37,2.601,现代生活美学——插花之道,园艺学,MOOCCubeX,追寻天人合一哲学理念，梳理中国插花、日本花道以及西方花艺史；实用插花技巧、植物、色彩、插花造型等；关注内心体验，平衡心理，培育优雅生活方式。
C_735405,37,2.461,货币金融学,应用经济学,MOOCCubeX,货币与我们的社会生活息息相关，是现代经济社会有效运转必不可少的血液。本门课程将引领大家破解货币的秘密，理解货币、银行、金融市场、货币政策当局等金融系统重要元素的基本运行规律和原理。
C_697018,36,2.688,数字电子技术基础,电子科学与技术,MOOCCubeX,电子技术的应用“无所不在”。不管哪个领域、哪个行业，为实现现代化、自动化、信息化，就必须配以电子系统。“电子技术基础”课程教授实现电子系统必备的基础知识。
C_799796,36,2.656,大学物理1 (力学、热学),物理学,MOOCCubeX,"大学物理是面向工科院系1、2年级本科生的物理基础课程, 大学物理1包括力学、热学两部分内容。 在清华这个课程大致需要58课堂学时（1学时 = 45分钟）。  "
C_682458,36,2.615,会计学原理,应用经济学,MOOCCubeX,【国家精品课】学习会计学原理可以了解和熟悉会计这种国际通用的商业语言，完善自己的知识结构体系，还可以为深入学习会计学其他课程打下基础。
C_696908,35,2.671,走进心理学,未标注,MOOCCubeX,如何解读达芬奇密码？一个人梦游他自己知道么？先有语言还是先有思想？怎样能够拥有超凡的单词量？本门课将用最新最酷的心理学理论来解答这些问题。
C_697032,35,2.643,英语写作指导——写作入门,未标注,MOOCCubeX,针对英语语言学习者的写作入门课程，主要关注短文写作、语法使用和自我检查。
C_770784,34,2.558,经济学原理,理论经济学,MOOCCubeX,经济学通才保罗·萨缪尔森说过：“在当今社会，谁不学习经济学，谁就不懂得怎样生活”。经济学原理的学习将有助于培养对现实生活中经济行为与经济现象的观察能力，了解现实世界的运作，训练经济学直觉。
C_746997,33,2.732,模拟电子技术基础(基础部分),电子科学与技术,MOOCCubeX,电子技术的应用“无所不在”。不管哪个领域、哪个行业，为实现现代化、自动化、信息化，就必须配以电子系统。“电子技术基础”课程教授实现电子系统必备的基础知识。
C_854839,33,2.64,微观经济学,未标注,MOOCCubeX,微观经济学是西方经济学的重要组成部分，你将学习理性人假设与消费者行为、需求函数，分工与效率等内容。 
C_676676,33,2.573,沟通心理学,未标注,MOOCCubeX,视角独特的“主持型”心理课，正能量的“烧脑”之旅。言语犀利，案例丰富，思维训练，实用性强，主讲人裴秋宇老师凝聚19年心理医生“心战”经历、15年世界五百强员工心理内训精华，获得2016最受欢迎慕课top1、2017十大最受欢迎国家精品在线课程。
C_788575,33,2.478,学术论文文献阅读与机助汉英翻译,未标注,MOOCCubeX,给学术小白的英文论文阅读与机器翻译入门课！文献检索与管理+英文论文阅读+人工智能机器翻译辅助论文翻译+SCI投稿流程实例操作，一条龙课程，图情副研究馆员+同声传译/学术英语老师+SCI期刊审稿人的跨学科团队带你从零起步能读慧译，科研国际化之路，即刻启航。
C_948410,33,2.208,中国经济概论,未标注,MOOCCubeX,清华大学王亚华教授开设的《中国经济概论》，基于丰富的当代中国研究成果，以大历史的视野和专业的理论分析，理性审视中国现代化道路，系统认识中国经济发展历史轨迹，客观评价计划经济时代和改革开放40年的成就和经验，深入探究当代中国经济发展奇迹及其动因，全面增进对中国独特经济发展模式的理解和认识。
C_873864,32,2.648,实用日语会话（Practical Japanese Conversation）,未标注,MOOCCubeX,面向懂英语或中文的所有人群，适用于从零起点到中高级学习者的各种水平。 教授生活中最常见的使用频率最高的日语口语，以及各种在日本生活的知识和方法。
C_696927,32,2.644,社会研究方法,社会学,MOOCCubeX,本证书项目依托清华大学公共管理教育的雄厚基础，帮助学习者掌握公共管理的新理论和新方法，训练在实际工作中运用公共管理理论和方法解决问题的技能，培养明德为公的敬业精神，全面提升公共领导力。
C_680745,31,2.651,学做小程序——基础篇,计算机科学与技术,MOOCCubeX,《学做小程序》为中国高校微信应用教育联盟推出的小程序开发系列课程，由资深前端工程师主讲，微信团队担任技术顾问。
C_801420,31,2.624,马克思主义基本原理,未标注,MOOCCubeX,妖魔化的马克思主义？神化的马克思主义？----你了解多少？！本课程将为你还原真实的马克思主义----不仅仅是一种信仰，更重要的是一个理论体系！ 
C_696554,31,2.586,大数据系统基础,未标注,MOOCCubeX,大数据是一门交叉学科。本门课程重点介绍大数据管理的工具平台、开发环境、基本原理。
C_682485,31,2.581,概率论——不确定性的科学,数学,MOOCCubeX,一门关于概率模型的导论课，同时涵盖了随机过程和统计推断的一些基本知识。
C_948468,31,2.547,Python大数据分析,未标注,MOOCCubeX,Python是软件工程，计算机专业学生进行数据分析所需要掌握的基础性语言。本课程以对python相关数据分析工具包的讲解为主，并提供丰富实例，培养学生语言数据分析理解和应用实践能力。
C_697405,31,2.501,住宅精细化设计,建筑学,MOOCCubeX,住宅是生活的容器。如何通过精细化的设计与装修，打造出舒适、实用的居住空间？本门课程中，我们将带你一起领悟“住的学问”。
C_696855,31,2.494,计算机文化基础,未标注,MOOCCubeX,面对无处不在的信息技术，你一定希望应用工具和技术解决常见的学习工作问题。甚至希望能够将信息技术应用到新的地方，那么，请加入课程学习！
C_947252,31,2.285,国际金融专题,未标注,MOOCCubeX,国际金融学是当前最热门的应用性经济科学之一。本门课程以专题形式展开，对主要的国际金融问题进行系统梳理，并结合中国现实问题及案例深入剖析，帮助学生巩固国际金融基础知识理论的同时，加深对我国对外经济运行现状与趋势、人民币汇率改革及国际化等现实问题的理解。
C_696740,30,2.734,我国周边14个陆地邻国基本情况介绍,地理学,MOOCCubeX,       本课程是涉及多个专业领域的一门基础课，14个陆上邻国的国家基本情况。每个国家主要围绕自然地理、政治经济、社会人文、民族宗教、国防军事等方面介绍。
C_677249,30,2.649,质性研究方法,未标注,MOOCCubeX,在这个系列的课程中，授课教师将结合自己十余年来自己的研究经验、给全日制研究生教授质性研究方法中遇到的常见议题，以及很多想要用质性方法完成课题申报和课题研究的经验，来分享质性研究的方法、技巧、程序和路径。
C_697117,29,2.719,西方哲学精神探源,未标注,MOOCCubeX,课程简介：
C_866756,29,2.663,运动与健康,体育学,MOOCCubeX,《运动与健康》全面地阐述体育运动与健康的关系、如何向体育运动要健康、不同运动项目的健康机制、运动损伤的预防与处理等基本内容。
C_676664,29,2.514,大国航母与舰载机,未标注,MOOCCubeX,本课程将带您走进大国航母与舰载机的世界，为您揭开世界各国现役航母神秘的面纱！
C_697797,28,2.712,Web前端攻城狮,未标注,MOOCCubeX,作为一名合格的前端攻城狮，要写得了样式磕得了脚本，玩得转ES6，架得起业务框架拎得起动画效果，撑得住浏览器抵得住服务端，这门课值得拥有！
C_707119,28,2.684,中国建筑史——元明清与民居,历史学,MOOCCubeX,本课程为中国建筑史的下半部分，主要介绍明清建筑与园林、民居等各类型传统建筑。
C_697149,28,2.616,线性代数(1),数学,MOOCCubeX,线性代数是大一数学基础课。我们将以求解线性方程组为中心问题，介绍向量、矩阵、线性空间、线性变换等基础概念和理论以及线性代数在自然科学和社会科学领域的广泛应用。
C_854866,28,2.586,软件工程,未标注,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_696841,28,2.519,公共危机管理,公共管理,MOOCCubeX,本证书项目依托清华大学公共管理教育的雄厚基础，帮助学习者掌握公共管理的新理论和新方法，训练在实际工作中运用公共管理理论和方法解决问题的技能，培养明德为公的敬业精神，全面提升公共领导力。
C_948209,27,2.714,自然辩证法概论,未标注,MOOCCubeX,认识和理解科技创新的本质与规律，懂得科技创新的一般方法，提升科技创新能力，助力学习者成为拔尖创新人才；理解我国为什么要实施创新驱动发展战略、提高自主创新能力、建设创新型国家和世界科技强国，助力学习者成为科技领军人才。
C_697069,27,2.616,大唐兴衰,未标注,MOOCCubeX,《大唐兴衰》是2018年教育部国家精品在线开放课程，主讲张国刚教授为唐史学家。课程主要内容涉及隋唐政治、经济、文化等领域，以现代思维总结古代国家治理模式、民生休戚的经验教训。通过老师导读，同学们可深入经典文本内部，纵览王朝兴衰，汲取人生智慧。
C_697748,27,2.609,项目管理概论,未标注,MOOCCubeX,本课程核心内容涉及项目初始决策、项程、时间、质量、成本、集成、采购、沟通、风险、组织与人力资源管理等，为专业课学习奠定基础。
C_697091,26,2.714,大数据与城市规划,计算机科学与技术,MOOCCubeX,本课程秉承技术方法与城市研究与规划并重的原则，既侧重大数据技术方法的讲解（如数据获取、处理、分析、统计与可视化），又重视城市量化研究和规划设计领域的应用。课程共分为概述篇、技术篇、数据篇、应用篇和展望篇。欢迎选用2019年1月中国建筑工业出版社出版的《城市规划大数据理论与方法》配合本MOOC课程学习（已经全网上线，https://item.jd.com/41422586456.html）。
C_682222,26,2.672,信号与系统,未标注,MOOCCubeX,本课程主要介绍连续时间系统时域、频域和S域的分析以及离散时间系统的时域、频域和Z域的分析，并讨论确定性信号经过线性时不变系统传输与处理的基本概念、基本分析和设计方法。
C_680933,26,2.663,公共管理学,公共管理,MOOCCubeX,公共管理学是探讨以政府为核心的公共组织对社会公共事务的管理活动，旨在提高公共福祉及管理效率的科学。政府部门、社会组织及公共企业的管理者面对复杂多变的社会环境，面对经济的快速发展和激烈的竞争，必须熟悉现代公共管理观念，了解公共管理的基本理论和方法，清楚公共部门的运行规范及程序。
C_697381,26,2.655,中国建筑史——史前至两宋辽金,历史学,MOOCCubeX,本课程为中国建筑史的上半部分，从中国古代建筑起源讲授到两宋辽金建筑，并涉及宋《营造法式》的介绍。
C_676913,26,2.64,习近平新时代中国特色社会主义思想,军队政治工作学,MOOCCubeX,国家治理认证证书项目拟定由《习近平新时代中国特色社会主义思想》、《公共危机管理》、《当代中国发展和改革》、《公共政策分析》、《大数据治理与政策》、《绿色创新理论与实践》六门课程组成，后续可根据项目实际情况进行调整。课程均由清华大学公共管理学院一线教师授课，为学习者们系统化地介绍现代国家治理的理论、知识与技能。通过学习，学习者可以掌握国家治理的新理论、新方法，具备在实际工作中运用相关理论和方法解决实际国家治理问题的能力与技巧，培养社会企业家精神。
C_677045,26,2.535,e时代的教与学——慕课引发的混合式教学,教育学,MOOCCubeX,混合式教学，在线学习与常规师生面授教学相结合，将带来教学模式的新变革。本课由清华大学的第一批混合式教学实践教师现身说法，为您分享他们的经验。
C_697374,26,2.513,职业探索与选择,未标注,MOOCCubeX,第一份工作是大学生人生中的一个重要决定。通过本课你将学习到，如何发现工作机会，如何展现个人特质，如何做决定，如何在大学为实现职业目标做准备。
C_943250,26,2.422,柔性电子技术,未标注,MOOCCubeX,柔性电子技术是电子技术发展的新趋势，本课程是一门全新的交叉学科课程，通过学习课程，可以帮助学生了解柔性电子技术的概念理论，利于培养柔性电子技术方面的人才，推动我国在该领域的持续竞争力。
C_782490,26,2.323,微积分（先修课）,未标注,MOOCCubeX,希望学生能掌握微分学和积分学的基本思想和方法，能够处理微积分中的常见问题，使学生得到比较系统的数学训练，提升学生的科学素质。
C_734011,25,2.583,大数据平台核心技术,计算机科学与技术,MOOCCubeX,讲授分布式系统构架、分布式编程、分布式流处理、分布式数据存储管理、内存计算支持等内容，突出技术深度和实战性。
C_735214,25,2.542,互联网创新与创业,未标注,MOOCCubeX,本课程以案例分析为主，通过探讨典型互联网企业的成功经验与失败教训，结合“互联网+”最新发展和“独角兽”企业发展趋势，引导学生理解信息技术和商业模式创新的重要性。通过该课程的学习，初步养成创新习惯，掌握互联网创新评判方法。
C_676649,25,2.476,儒家修身之道,中国语言文学,MOOCCubeX,儒家使中国人理性早启，塑造了我们的情感方式，医治我们的心灵伤痛。儒学是真正的知识，就像三三得九，修身之道是基础。
C_854832,25,2.294,研究生学术与职业素养讲座,未标注,MOOCCubeX,本课程将清华大学研究生学术与职业素养讲座以MOOC形式发布于学堂在线平台，希望能帮助学生们提升学术素养、职业修养、创新创业意识等方面的综合素质。
C_680759,24,2.643,量子力学（上）,物理学,MOOCCubeX,量子力学是近代和现代物理学的理论基础，是科学史上被实验最精确地检验过的物理理论。量子世界里充满了奇妙，它正等着您来探秘！
C_799800,24,2.572,大学物理2 (电磁学、光学和量子物理),物理学,MOOCCubeX,"大学物理是面向工科院系1、2年级本科生的物理基础课程, 大学物理2包括电磁学、光学和量子物理三部分内容。 在清华这个课程大致需要58课堂学时（1学时 = 45分钟）。"
C_676656,24,2.569,创业启程,未标注,MOOCCubeX,企业家讲授，教授点评，案例与理论结合，帮你打开通往创业的大门，让你掌握并学会运用机会识别等创业理论，感受冒险进取、坚持不懈的创业精神的魅力。
C_697039,24,2.559,英语写作指导——科学写作,外国语言文学,MOOCCubeX,针对英语语言学习者的学术写作入门课程，主要关注短文写作、语法使用和自我检查。
C_697828,24,2.537,程序设计基础,未标注,MOOCCubeX,疾风计划2021【首期限额招募】进行中
C_676969,24,2.501,中国房地产发展之路,理论经济学,MOOCCubeX,课程以透析房地产业的各级产业链和房地产的各物业类型为双向维度展开，剖析房地产业在国民经济中的地位以及房地产业和房地产市场发展所面临的挑战。
C_676686,24,2.469,经典与思考——人文清华大师面对面,教育学,MOOCCubeX,人文清华慕课，汇集清华大学最优秀的人文社科学者。每个单元认识一位大家、了解一门学科，精读一本著作，深入思考一个问题。
C_707032,24,2.356,文物精品与文化中国,未标注,MOOCCubeX,本课程以精品文物作引子，将学术界探索中华文明的过程作为线索，介绍古代中国在造船、玉器等诸多领域的杰出成就，学生可以藉此获得对文化中国全方位的、直观而深入的认识。
C_948409,24,2.315,大数据治理与政策,未标注,MOOCCubeX,国家治理认证证书项目拟定由《习近平新时代中国特色社会主义思想》、《公共危机管理》、《当代中国发展和改革》、《公共政策分析》、《大数据治理与政策》、《绿色创新理论与实践》六门课程组成，后续可根据项目实际情况进行调整。课程均由清华大学公共管理学院一线教师授课，为学习者们系统化地介绍现代国家治理的理论、知识与技能。通过学习，学习者可以掌握国家治理的新理论、新方法，具备在实际工作中运用相关理论和方法解决实际国家治理问题的能力与技巧，培养社会企业家精神。
C_676651,23,2.652,创业102：你能为客户做什么？,未标注,MOOCCubeX,你可以为你的客户做些什么？
C_682466,23,2.629,清华院系概览,未标注,MOOCCubeX,本课程将带你走进清华的各个院系，帮助你了解它们的特点、培养目标、研究成果、学生生活、就业去向等诸多方面。
C_707096,23,2.613,e时代的新课堂——在线教育概论,未标注,MOOCCubeX,在线教育的发展催生了e时代的新课堂，为传统的教与学带来了机遇和挑战。本课将结合理论与实践，从宏观和前瞻的角度解读在线教育。
C_677038,23,2.59,e时代的大佬师——慕课教师的修炼心法,教育学,MOOCCubeX,慕课正在逐渐改变着教与学的模式，将最新的教育理念和技术手段服务于教育的改革之中。本课将深入探讨慕课的制作与运营，武装每一位e时代的老师。
C_697075,23,2.563,微积分——极限理论与一元函数,未标注,MOOCCubeX,本课程是理工科的一门数学基础课，系统、全面地介绍了一元函数微积分学。课程既保持了数学的严谨和抽象的特点，也注意了数学概念的直观和形象的一面。
C_677159,23,2.512,影视制作入门,艺术学,MOOCCubeX,做片子，你需要的所有知识都在这里。
C_697096,23,2.496,运动与减脂塑形,体育学,MOOCCubeX,体操奥运冠军陈一冰亲授减脂、增肌、塑形原理，同时教你如何通过科学运动减掉多余脂肪、健美每一块肌肉、塑造健美身姿、养成正确体态的实用方法。使用科学的运动方法，达到完美的健身目标！
C_677076,23,2.479,美国政治概论,政治学,MOOCCubeX,一个年轻的国家，拥有历史悠久的宪法；追求民主，却提防民粹；热爱自由，却同样热爱法律——美国，一个谜一样的国家，本课程带你理解它的政治机制。
C_922850,23,2.42,现代电子系统设计,未标注,MOOCCubeX,本课程系统介绍基于片上系统SoC的现代电子系统，包括系统组成、设计方法、最新技术、设计样例、实验内容及实验结果展示等。帮助学生系统全面地掌握现代电子系统的设计方法，同时培养创新设计思想。
C_681655,23,2.397,传染病学,临床医学,MOOCCubeX,传染病学是一门研究各种传染病在人体内外发生、发展、传播、诊断、治疗和预防规律的学科，是医学生的必修课程，可以使学生获得各种常见传染病的诊断、治疗与预防等方面的知识。
C_697025,23,2.273,中医与诊断-学做自己的医生,未标注,MOOCCubeX,古人云：为人父母者，不知医为不慈；为人儿女者，不知医为不孝。找个医生做朋友，不如自己就成为懂医的人。本课程已入选国家精品在线开放课程！欢迎学习本课程，为自身和家人的保健及就医提供依据，真正做一个慈孝之人。
C_883372,22,2.708,计算几何,数学,MOOCCubeX,体味几何之趣，领悟算法之美
C_681255,22,2.699,时尚化妆造型,未标注,MOOCCubeX,针对爱美人士讲解时尚生活、新娘和商业化妆造型基本原理及方法，使其能快速掌握现在时尚流行妆容造型的实际操作技能。
C_682702,22,2.577,金融工程导论,应用经济学,MOOCCubeX,金融工程是用创新性金融工具为企业、金融机构和个人的风险管理和投融资决策提供创造性解决方案，使不可能的交易成为可能。
C_707038,22,2.529,有机化学,化学,MOOCCubeX,世界上的有机化合物丰富多彩，结构复杂，而这些复杂的有机物是从何而来的？本课程将带你了解奇妙的有机化学，看看化学家们是如何创造出各种绚丽的有机分子。
C_697415,22,2.518,走进医学,未标注,MOOCCubeX,医学是融合了人类聪明才智，集科学、哲学和人文于一体的艺术学科。打开本课，您将领略到一个全新的世界，我们将带您去揭开人类疾病与健康的奥秘。
C_707037,22,2.472,艺术的启示,艺术学,MOOCCubeX,如果有这样一门课程，它既不是艺术史课，也不是艺术创作课，但却能够让我们渴望了解艺术的历史、情愿参与艺术的创作，这门课程就是《艺术的启示》。
C_682442,22,2.43,组合数学,数学,MOOCCubeX,"本课程是计算机专业核心的基础理论课，是计算机理论分析和算法设计的基础,侧重介绍组合数学的概念和思想，研究离散对象的计数方法和相关理论。"
C_677020,22,2.2,中国古代礼义文明——礼学经典,历史学,MOOCCubeX,中国是传承千年的礼仪之邦，中国文化的核心是礼。本课程将枚举一些文献材料，再辅之以一些分析举例，深入浅出地讲授中国古代礼仪文明的基本框架。
C_696946,21,2.685,身边的营养学,未标注,MOOCCubeX,在这门课程中，我们将向您讲授蛋白质、脂类、碳水化合物、膳食纤维、维生素、矿物质和水等几大营养素的特性和生理功能。进而，我们会教会您如何理论联系实际，解决生活中的实际膳食问题。
C_760442,21,2.626,自然辩证法概论,未标注,MOOCCubeX,通过本课程的学习，学生能够联系科学技术的历史与现状，掌握辩证唯物主义的基本理论、观点和方法，并能提高自身的理论思维能力和综合素质，特别是创新精神和创新能力。
C_696954,21,2.551,商学导论：10节课带你走进商业世界,未标注,MOOCCubeX,作为管理学入门课，从行业、企业及个人层面，引导学生观察、理解商业世界的基本逻辑，对企业管理有更深入的了解。 
