course_id,user_id,preference
C_696674,U_3836,2.97
C_676676,U_3850,2.85
C_674923,U_3850,2.76
C_696525,U_3850,2.64
C_948468,U_3851,3.0
C_682466,U_3866,2.97
C_707119,U_3866,2.94
C_707032,U_3866,2.82
C_696994,U_3933,2.94
C_697821,U_3936,2.94
C_676932,U_4081,3.0
C_801446,U_4117,2.79
C_682822,U_4154,2.97
C_697091,U_4164,2.97
C_770784,U_4232,2.91
C_676649,U_4243,2.7
C_697152,U_4243,2.4
C_696994,U_4243,2.37
C_677030,U_4243,2.28
C_697091,U_4367,2.79
C_680980,U_4367,2.64
C_1755912,U_4371,2.94
C_1718815,U_4381,2.85
C_681200,U_4381,2.67
C_917311,U_4391,3.0
C_696704,U_4391,2.97
C_676656,U_4426,3.0
C_674953,U_4436,3.0
C_756646,U_4486,2.94
C_734050,U_4486,2.91
C_1472684,U_4486,2.79
C_1824376,U_4528,2.82
C_1814140,U_4528,2.79
C_676932,U_4566,2.97
C_697096,U_4576,2.97
C_948141,U_4666,3.0
C_756646,U_4728,2.88
C_1776301,U_4728,2.58
C_1811839,U_4728,2.49
C_754135,U_4757,2.97
C_696927,U_4792,3.0
C_676651,U_4816,3.0
C_677243,U_4831,2.79
C_677093,U_4847,2.79
C_682754,U_4847,2.58
C_862967,U_4865,3.0
C_697754,U_4898,2.58
C_1811739,U_4908,3.0
C_697130,U_4908,2.85
C_881462,U_4908,2.82
C_696855,U_4908,2.49
C_677095,U_4908,2.13
C_697096,U_4908,2.01
C_676917,U_4908,1.92
C_735157,U_4908,1.86
C_680762,U_4908,1.74
C_674971,U_4938,3.0
C_677047,U_4973,2.79
C_707031,U_4992,2.97
C_696682,U_4992,2.91
C_681345,U_4992,2.85
C_955163,U_4992,2.67
C_694136,U_4992,2.61
C_735308,U_4995,2.97
C_674920,U_5034,2.73
C_681688,U_5034,2.64
C_682308,U_5049,2.94
C_697267,U_5049,2.79
C_1903962,U_5176,2.94
C_681719,U_5176,2.91
C_696554,U_5182,3.0
C_919146,U_5213,2.67
C_948262,U_5213,2.4
C_681744,U_5213,2.25
C_696679,U_5221,3.0
C_696679,U_5257,2.91
C_948408,U_5257,2.82
C_674903,U_5266,2.91
C_1410117,U_5375,2.97
C_677087,U_5400,2.85
C_694136,U_5400,2.76
C_697130,U_5403,2.97
C_696994,U_5403,2.91
C_854839,U_5408,3.0
C_696994,U_5408,2.94
C_676658,U_5424,2.94
C_696918,U_5424,2.82
C_696597,U_5424,2.73
C_676932,U_5435,3.0
C_697415,U_5435,2.85
C_1818546,U_5551,2.94
C_682189,U_5631,2.97
C_697802,U_5686,2.91
C_746965,U_5686,2.76
C_682546,U_5804,3.0
C_682141,U_5804,2.97
C_735317,U_5872,2.91
C_680754,U_5892,2.67
C_696679,U_5897,3.0
C_680752,U_5897,2.91
C_677019,U_5930,2.67
C_680757,U_5947,2.94
C_680731,U_5973,2.73
C_696554,U_5973,2.04
C_955163,U_5981,2.97
C_943250,U_6064,2.85
C_696911,U_6068,2.97
C_707031,U_6089,3.0
C_680710,U_6120,2.88
C_696927,U_6120,2.73
C_677243,U_6120,2.37
C_707077,U_6120,2.34
C_697188,U_6120,2.07
C_735175,U_6141,2.7
C_696968,U_6147,2.94
C_2342532,U_6147,2.85
C_1017419,U_6195,2.91
C_697068,U_6199,2.97
C_845674,U_6203,3.0
C_948141,U_6203,2.94
C_735269,U_6214,3.0
C_682427,U_6214,2.88
C_697129,U_6214,2.73
C_680788,U_6269,3.0
C_747064,U_6269,2.97
C_681452,U_6269,2.91
C_696732,U_6269,2.85
C_799800,U_6284,2.82
C_948430,U_6286,2.97
C_911160,U_6286,2.91
C_707369,U_6286,2.64
C_948289,U_6286,2.49
C_676932,U_6286,2.46
C_948123,U_6286,1.89
C_948419,U_6355,3.0
C_735351,U_6355,2.85
C_682458,U_6409,2.91
C_676635,U_6453,3.0
C_682170,U_6463,2.85
C_749807,U_6531,2.94
C_676897,U_6615,2.88
C_697374,U_6700,2.97
C_697395,U_6799,2.88
C_677031,U_6799,2.61
C_676664,U_6799,2.55
C_735351,U_6806,3.0
C_697191,U_6806,2.67
C_1738993,U_6806,2.43
C_898359,U_6806,2.37
C_840084,U_6883,3.0
C_697034,U_6883,2.82
C_697188,U_6980,2.85
C_866756,U_7010,2.94
C_697100,U_7010,2.91
C_697113,U_7010,2.85
C_707022,U_7056,2.73
C_769273,U_7099,2.85
C_1428968,U_7173,3.0
C_677146,U_7173,2.91
C_801443,U_7180,3.0
C_697075,U_7256,3.0
C_781494,U_7277,2.76
C_674912,U_7277,2.73
C_682256,U_7277,2.52
C_694140,U_7277,2.43
C_947257,U_7277,2.28
C_948219,U_7277,2.22
C_1428968,U_7277,1.98
C_948417,U_7277,1.74
C_676697,U_7277,1.53
C_1526890,U_7277,1.5
C_1903983,U_7277,1.35
C_681655,U_7277,1.29
C_697778,U_7312,3.0
C_696673,U_7312,2.85
C_682400,U_7312,2.79
C_819290,U_7312,2.67
C_845947,U_7335,2.88
C_948436,U_7382,3.0
C_770784,U_7460,2.76
C_1903985,U_7460,2.52
C_697374,U_7529,2.94
C_737493,U_7542,2.91
C_694144,U_7542,2.88
C_911738,U_7551,2.97
C_694136,U_7650,2.73
C_696972,U_7650,2.13
C_697039,U_7650,2.04
C_854832,U_7650,1.95
C_677045,U_7650,1.86
C_788575,U_7650,1.53
C_735338,U_7650,1.32
C_697791,U_7650,1.0
C_735441,U_7650,1.0
C_696954,U_7667,2.94
C_697045,U_7685,2.97
C_697415,U_7716,2.85
C_707031,U_7716,2.82
C_1691412,U_7747,2.97
C_1214863,U_7747,2.94
C_697778,U_7759,2.97
C_682523,U_7786,3.0
C_770766,U_7808,2.85
C_707081,U_7808,2.7
C_735251,U_7808,2.67
C_931245,U_7809,2.97
C_866769,U_7825,2.88
C_682360,U_7903,2.97
C_696955,U_7956,3.0
C_735157,U_7957,2.88
C_682442,U_7957,2.76
C_1794464,U_8014,2.61
C_780629,U_8019,2.79
C_677146,U_8019,2.67
C_948468,U_8019,2.61
C_707456,U_8019,2.16
C_697068,U_8025,2.73
C_680747,U_8025,2.64
C_735269,U_8046,2.94
C_676661,U_8090,3.0
C_696697,U_8125,2.91
C_696704,U_8132,2.97
C_682713,U_8220,2.61
C_696700,U_8235,3.0
C_676658,U_8235,2.82
C_948430,U_8429,2.94
C_681382,U_8429,2.85
C_1811832,U_8462,2.97
C_1864068,U_8465,2.91
C_681475,U_8558,2.91
C_676662,U_8558,2.85
C_680777,U_8558,2.82
C_1784729,U_8635,2.91
C_697293,U_8659,2.79
C_905197,U_8672,2.97
C_1800063,U_8702,2.91
C_697096,U_8705,3.0
C_697110,U_8705,2.82
C_681702,U_8818,2.94
C_696679,U_8818,2.91
C_681094,U_8818,2.7
C_1434547,U_8818,2.52
C_696724,U_8846,2.85
C_1552662,U_8846,2.79
C_734011,U_9006,2.97
C_681255,U_9006,2.91
C_682147,U_9006,2.61
C_927959,U_9006,2.58
C_747227,U_9006,2.31
C_697025,U_9012,2.94
C_677019,U_9036,2.88
C_1806527,U_9105,2.94
C_696506,U_9260,3.0
C_696816,U_9266,2.97
C_676663,U_9266,2.94
C_948417,U_9503,3.0
C_680731,U_9542,2.76
C_1123848,U_9570,2.94
C_677243,U_9589,3.0
C_676662,U_9719,2.91
C_680805,U_9719,2.7
C_947773,U_9719,2.58
C_911664,U_9726,3.0
C_682704,U_9745,2.97
C_697208,U_9787,3.0
C_682648,U_9801,2.97
C_676673,U_9942,2.88
C_681671,U_9967,3.0
C_696679,U_9967,2.97
C_808529,U_9967,2.91
C_680963,U_10000,3.0
C_1756063,U_10007,2.94
C_677019,U_10051,3.0
C_747696,U_10053,2.91
C_948289,U_10053,2.88
C_881314,U_10226,3.0
C_696673,U_10260,2.97
C_770738,U_10260,2.88
C_782555,U_10299,3.0
C_707054,U_10309,2.55
C_682137,U_10312,2.97
C_697791,U_10312,2.88
C_676953,U_10362,2.94
C_682193,U_10364,3.0
C_734011,U_10364,2.94
C_680752,U_10368,2.94
C_697130,U_10368,2.73
C_680745,U_10368,2.7
C_697091,U_10368,2.67
C_697068,U_10368,2.58
C_707379,U_10368,2.28
C_697791,U_10368,2.25
C_735273,U_10377,3.0
C_943250,U_10424,2.97
C_948422,U_10424,2.94
C_932176,U_10431,2.91
C_697034,U_10513,2.91
C_770738,U_10513,2.82
C_682602,U_10525,3.0
C_1765585,U_10537,2.91
C_948468,U_10537,2.73
C_697161,U_10577,3.0
C_676651,U_10669,2.58
C_696939,U_10682,2.58
C_697005,U_10682,2.43
C_696487,U_10682,2.4
C_696899,U_10683,2.94
C_680745,U_10830,2.73
C_697791,U_10852,2.97
C_854870,U_11024,2.76
C_948216,U_11024,2.73
C_682222,U_11093,3.0
C_682289,U_11100,2.97
C_883345,U_11100,2.88
C_883345,U_11170,3.0
C_682320,U_11202,3.0
C_770784,U_11203,2.97
C_948468,U_11203,2.52
C_696908,U_11560,2.85
C_696597,U_11560,2.76
C_696626,U_11638,2.97
C_697068,U_11638,2.88
C_697791,U_11667,2.94
C_697821,U_11667,2.52
C_707081,U_11673,2.88
C_911165,U_11680,2.94
C_682147,U_11725,3.0
C_947246,U_11725,2.82
C_697821,U_11725,2.64
C_655852,U_11731,2.82
C_769293,U_11731,2.28
C_696968,U_11731,2.22
C_697069,U_11731,1.92
C_707373,U_11731,1.74
C_682473,U_11731,1.53
C_735253,U_11731,1.14
C_680761,U_11731,1.02
C_679148,U_11731,1.0
C_758208,U_11731,1.0
C_758221,U_11731,1.0
C_681636,U_11731,1.0
C_799931,U_11731,1.0
C_797853,U_11731,1.0
C_682754,U_11731,1.0
C_759037,U_11731,1.0
C_735197,U_11731,1.0
C_677146,U_11731,1.0
C_696855,U_11731,1.0
C_681754,U_11731,1.0
C_769301,U_11731,1.0
C_707379,U_11731,1.0
C_756747,U_11731,1.0
C_707384,U_11731,1.0
C_682469,U_11731,1.0
C_680961,U_11731,1.0
C_682137,U_11731,1.0
C_682523,U_11731,1.0
C_696549,U_11731,1.0
C_883345,U_11731,1.0
C_696841,U_11731,1.0
C_680968,U_11731,1.0
C_735111,U_11731,1.0
C_735049,U_11731,1.0
C_696586,U_11731,1.0
C_697152,U_11731,1.0
C_898310,U_11731,1.0
C_735123,U_11731,1.0
C_893812,U_11731,1.0
C_898349,U_11731,1.0
C_682442,U_11731,1.0
C_680818,U_11731,1.0
C_707068,U_11731,1.0
C_696754,U_11731,1.0
C_677241,U_11731,1.0
C_735448,U_11731,1.0
C_682379,U_11731,1.0
C_680774,U_11731,1.0
C_674950,U_11731,1.0
C_696554,U_11731,1.0
C_788575,U_11731,1.0
C_934522,U_11731,1.0
C_943223,U_11731,1.0
C_943228,U_11731,1.0
C_948078,U_11731,1.0
C_936973,U_11731,1.0
C_948424,U_11731,1.0
C_948114,U_11731,1.0
C_947252,U_11731,1.0
C_948411,U_11731,1.0
C_948423,U_11731,1.0
C_680823,U_11731,1.0
C_707032,U_11731,1.0
C_681678,U_11731,1.0
C_696954,U_11731,1.0
C_677043,U_11731,1.0
C_934534,U_11731,1.0
C_1683594,U_11731,1.0
C_697653,U_11731,1.0
C_697063,U_11731,1.0
C_1526890,U_11731,1.0
C_682595,U_11731,1.0
C_901922,U_11731,1.0
C_696721,U_11731,1.0
C_676917,U_11731,1.0
C_1741560,U_11731,1.0
C_696947,U_11731,1.0
C_1741534,U_11731,1.0
C_948286,U_11731,1.0
C_1720764,U_11731,1.0
C_830571,U_11731,1.0
C_680849,U_11731,1.0
C_784387,U_11731,1.0
C_934496,U_11731,1.0
C_1472684,U_11731,1.0
C_948430,U_11731,1.0
C_947250,U_11731,1.0
C_1800063,U_11731,1.0
C_1776316,U_11731,1.0
C_1646044,U_11731,1.0
C_1806527,U_11731,1.0
C_676995,U_11731,1.0
C_1738818,U_11731,1.0
C_1527465,U_11731,1.0
C_1776283,U_11731,1.0
C_682696,U_11731,1.0
C_680869,U_11731,1.0
C_676662,U_11731,1.0
C_1903983,U_11731,1.0
C_682193,U_11731,1.0
C_676820,U_11731,1.0
C_1738993,U_11731,1.0
C_696626,U_11731,1.0
C_697055,U_11731,1.0
C_936963,U_11731,1.0
C_680759,U_11731,1.0
C_682322,U_11731,1.0
C_1903980,U_11731,1.0
C_936968,U_11731,1.0
C_876712,U_11731,1.0
C_682360,U_11731,1.0
C_676934,U_11731,1.0
C_1886674,U_11731,1.0
C_2053613,U_11731,1.0
C_2256608,U_11731,1.0
C_682275,U_11731,1.0
C_2308102,U_11731,1.0
C_2297243,U_11731,1.0
C_2328543,U_11731,1.0
C_2286953,U_11731,1.0
C_676656,U_11732,2.76
C_694136,U_11732,2.28
C_1904668,U_11733,2.67
C_676676,U_11736,2.85
C_1925896,U_11737,2.37
C_677185,U_11748,2.61
C_799796,U_11768,2.97
C_682302,U_11768,2.94
C_697034,U_11834,2.97
C_770738,U_11835,2.97
C_879040,U_11863,3.0
C_696729,U_11863,2.88
C_854839,U_11863,2.58
C_948412,U_11869,2.91
C_696724,U_11895,3.0
C_707025,U_11904,2.76
C_676932,U_11904,2.28
C_697034,U_11904,2.19
C_735385,U_11904,2.07
C_1794464,U_11904,1.86
C_676648,U_11904,1.62
C_681475,U_11904,1.29
C_735107,U_11983,2.76
C_854843,U_11983,2.37
C_696753,U_11983,2.07
C_680972,U_11983,1.98
C_760442,U_11983,1.83
C_681520,U_11983,1.0
C_948421,U_11983,1.0
C_759007,U_11983,1.0
C_916843,U_11983,1.0
C_696700,U_11983,1.0
C_854839,U_11983,1.0
C_697374,U_11983,1.0
C_1718815,U_11983,1.0
C_676937,U_11983,1.0
C_677249,U_11983,1.0
C_887103,U_11983,1.0
C_676697,U_11983,1.0
C_677185,U_11983,1.0
C_1912010,U_11983,1.0
C_696697,U_11983,1.0
C_735244,U_11983,1.0
C_907965,U_11983,1.0
C_948411,U_11983,1.0
C_854839,U_12036,2.76
C_677010,U_12039,2.97
C_696826,U_12046,2.91
C_873864,U_12046,2.76
C_697468,U_12054,3.0
C_696685,U_12054,2.88
C_682344,U_12097,2.97
C_917311,U_12097,2.94
C_697543,U_12097,2.91
C_682696,U_12118,2.97
C_694136,U_12414,2.97
C_696555,U_12562,2.7
C_770751,U_12579,3.0
C_1903985,U_12587,2.67
C_682512,U_12587,2.61
C_682586,U_12602,3.0
C_746985,U_12602,2.97
C_879093,U_12602,2.94
C_879040,U_12669,2.64
C_681034,U_12669,2.37
C_680933,U_12669,2.19
C_696700,U_12669,2.13
C_681737,U_12829,2.85
C_696922,U_13108,2.85
C_677010,U_13146,2.91
C_696746,U_13157,2.97
C_697075,U_13210,3.0
C_680824,U_13210,2.88
C_697166,U_13210,2.82
C_680970,U_13243,2.76
C_680804,U_13243,2.73
C_697293,U_13243,2.64
C_674903,U_13243,2.52
C_696927,U_13402,2.91
C_1017419,U_13402,2.85
C_947167,U_13402,2.82
C_682506,U_13493,2.79
C_676683,U_13530,2.97
C_696821,U_13623,3.0
C_934526,U_13771,3.0
C_696674,U_13771,2.82
C_682589,U_13771,2.43
C_735102,U_13771,2.34
C_735107,U_13771,2.31
C_879054,U_13771,2.1
C_677144,U_13771,1.92
C_677192,U_13771,1.77
C_682550,U_13771,1.65
C_681362,U_13771,1.0
C_681745,U_13771,1.0
C_674937,U_13771,1.0
C_697273,U_13771,1.0
C_680790,U_13771,1.0
C_677167,U_13771,1.0
C_676918,U_13771,1.0
C_696487,U_13771,1.0
C_682586,U_13771,1.0
C_677014,U_13771,1.0
C_825832,U_13771,1.0
C_697130,U_13771,1.0
C_735343,U_13771,1.0
C_696939,U_13771,1.0
C_674903,U_13771,1.0
C_629559,U_13771,1.0
C_697293,U_13771,1.0
C_746985,U_13771,1.0
C_934510,U_13771,1.0
C_696700,U_13771,1.0
C_676656,U_14070,2.91
C_697267,U_14158,2.97
C_682309,U_14158,2.94
C_947252,U_14158,2.85
C_735362,U_14255,2.91
C_948411,U_14255,2.88
C_682702,U_14255,2.73
C_696740,U_14489,2.94
C_680753,U_14489,2.82
C_676659,U_14489,2.37
C_697166,U_14489,2.04
C_696724,U_14489,2.01
C_697757,U_14489,1.95
C_854866,U_14489,1.62
C_697405,U_14489,1.59
C_676996,U_14489,1.29
C_677159,U_14489,1.23
C_770766,U_14489,1.14
C_680777,U_14489,1.02
C_697006,U_14489,1.0
C_676683,U_14489,1.0
C_676664,U_14489,1.0
C_746985,U_14489,1.0
C_680817,U_14489,1.0
C_1738993,U_14489,1.0
C_697422,U_14489,1.0
C_696554,U_14493,2.97
C_735164,U_14651,2.97
C_682466,U_14667,3.0
C_697293,U_14667,2.97
C_676662,U_14746,2.88
C_909412,U_14765,2.82
C_735377,U_14765,2.79
C_696695,U_14765,2.49
C_696972,U_14765,2.31
C_758204,U_14765,2.07
C_948259,U_14765,1.83
C_707032,U_14765,1.71
C_674959,U_14765,1.65
C_879045,U_14765,1.59
C_680726,U_14765,1.38
C_677023,U_14765,1.23
C_682458,U_14808,3.0
C_735122,U_14970,3.0
C_629559,U_14999,3.0
C_697027,U_15010,3.0
C_696968,U_15010,2.88
C_697032,U_15010,2.82
C_697191,U_15010,2.49
C_707096,U_15010,2.28
C_948414,U_15120,3.0
C_697039,U_15173,2.94
C_629559,U_15335,3.0
C_682324,U_15335,2.91
C_696994,U_15398,3.0
C_682772,U_15398,2.88
C_2231604,U_15737,2.82
C_1770323,U_15737,1.38
C_696994,U_15777,2.97
C_697100,U_15873,2.94
C_697034,U_16100,2.97
C_697415,U_16132,2.94
C_735155,U_16365,2.97
C_1825107,U_16660,2.7
C_735143,U_16717,3.0
C_674903,U_16986,2.97
C_677179,U_17031,3.0
C_697039,U_17031,2.94
C_931245,U_17031,2.67
C_676696,U_17031,2.58
C_696994,U_17171,2.97
C_696679,U_17532,2.97
C_696625,U_17574,3.0
C_697173,U_17575,3.0
C_800360,U_17575,2.97
C_681080,U_17630,2.85
C_696911,U_17632,3.0
C_682308,U_17637,3.0
C_676682,U_17679,2.85
C_735361,U_17679,2.82
C_681355,U_17679,2.19
C_682296,U_17679,2.07
C_696829,U_17679,2.04
C_681682,U_17711,2.97
C_881478,U_17711,2.76
C_697024,U_17714,2.97
C_696679,U_17714,2.82
C_931248,U_17714,2.73
C_681702,U_17714,2.67
C_936963,U_17714,2.58
C_682515,U_17719,2.85
C_697026,U_17721,2.94
C_697212,U_17740,2.97
C_696724,U_17754,2.94
C_1795810,U_17758,2.97
C_735269,U_17768,2.94
C_943228,U_17774,2.94
C_696882,U_17810,2.85
C_862620,U_17826,2.97
C_879045,U_17843,2.7
C_763992,U_17856,2.97
C_677042,U_17857,2.85
C_854855,U_17857,2.76
C_707025,U_17857,2.64
C_696884,U_17857,2.55
C_947773,U_17857,2.46
C_879074,U_17857,2.37
C_680886,U_17857,2.25
C_866769,U_18296,2.64
C_735244,U_18374,2.97
C_676683,U_18433,2.94
C_674903,U_18622,3.0
C_680790,U_18622,2.85
C_949541,U_18622,2.34
C_682330,U_18741,2.91
C_680920,U_18964,2.94
C_674920,U_18964,2.82
C_947244,U_18964,2.19
C_707031,U_19154,2.76
C_2095102,U_19154,2.58
C_697055,U_19224,2.91
C_735116,U_19575,2.88
C_800360,U_19575,2.76
C_681005,U_19575,2.64
C_682525,U_19857,2.97
C_674920,U_20026,3.0
C_948123,U_20026,2.91
C_1741554,U_20128,3.0
C_696841,U_20282,3.0
C_948414,U_20282,2.88
C_677028,U_20282,2.37
C_680741,U_20282,2.16
C_681406,U_20287,2.7
C_677045,U_20287,2.28
C_677136,U_20287,2.07
C_697110,U_20287,2.04
C_697427,U_20287,1.86
C_1903985,U_20310,2.94
C_681636,U_20315,2.88
C_679390,U_20315,2.82
C_681039,U_20315,2.1
C_758194,U_20315,1.74
C_948148,U_20315,1.65
C_947152,U_20315,1.0
C_697006,U_20315,1.0
C_934534,U_20315,1.0
C_949540,U_20315,1.0
C_1732839,U_20315,1.0
C_948113,U_20315,1.0
C_696597,U_20315,1.0
C_2097435,U_20315,1.0
C_793017,U_20315,1.0
C_1755887,U_20315,1.0
C_2301265,U_20315,1.0
C_1912188,U_20329,2.88
C_770738,U_20329,2.82
C_677095,U_20365,2.97
C_909094,U_20375,3.0
C_681005,U_20395,2.76
C_697423,U_20395,2.34
C_680770,U_20395,2.28
C_680777,U_20395,2.25
C_947250,U_20395,2.07
C_696945,U_20395,1.83
C_682275,U_20395,1.71
C_679390,U_20395,1.53
C_735079,U_20395,1.38
C_697108,U_20395,1.0
C_680823,U_20400,2.94
C_948092,U_20400,2.85
C_697270,U_20400,2.76
C_697032,U_20400,2.73
C_696720,U_20421,2.94
C_883345,U_20455,3.0
C_707081,U_20455,2.94
C_696994,U_20643,3.0
C_854839,U_20643,2.97
C_707038,U_20775,2.97
C_629559,U_20787,2.88
C_682602,U_20787,2.64
C_697068,U_20787,2.37
C_697748,U_20985,2.97
C_883345,U_21028,2.34
C_948417,U_21028,2.31
C_801420,U_21045,2.94
