course_id,course_name,old_category,new_category,reason
C_680978,中国文化与文学精粹,未标注,文学,keywords:文学|国文
C_680980,植物景观规划设计导论,未标注,艺术学,design_context_art:景观
C_680981,总经理领导力突破的六堂课,未标注,管理学,keywords:企业|领导力
C_680984,食品微生物学,未标注,理学,keywords:生物学
C_680993,混凝土建筑结构,未标注,工学,design_context_engineering:结构|建筑
C_681007,第二语言习得 (英文版),未标注,文学,keywords:语言
C_681009,机械基础实验,未标注,工学,design_context_engineering:机械|工程|结构
C_681010,互联网时代的营销变革,未标注,管理学,override:营销
C_681012,ACCA F7 财务报告,未标注,管理学,keywords:会计|财务
C_681015,食品微生物学,未标注,理学,keywords:生物学
C_681017,人人爱物流,未标注,管理学,override:物流
C_681028,耕作学——农业生态转型的理论与实践,未标注,农学,keywords:农业
C_681031,印刷色彩基础与实务（中国轻工业十三五数字化项目）,未标注,工学,override:印刷色彩
C_681032,摄影艺术概论,未标注,艺术学,keywords:艺术|摄影
C_681034,导航原理,未标注,理学,keywords:数学|物理
C_681036,Transforming Our World,未标注,教育学,fallback:generic_course
C_681039,The Best Start in Life: Early Childhood Development for Sustainable Development,未标注,教育学,fallback:generic_course
C_681041,Climate Change Science and Negotiations,未标注,教育学,fallback:generic_course
C_681049,Solar Energy,未标注,工学,override:Solar Energy
C_681057,Socially-Responsible Real Estate Development: Learning to Use Impact Assessment Tools Effectively,未标注,工学,keywords:SoC
C_681068,兽医产科学,未标注,医学,keywords:医学|临床|疾病|生理
C_681074,普通逻辑学,未标注,哲学,keywords:逻辑学
C_681079,生命科学与人类生活,未标注,理学,keywords:生物学
C_681080,网络技术与应用实验,未标注,工学,design_context_engineering:系统|设备|网络
C_681083,教学的艺术,未标注,教育学,keywords:教育|教学|教师
C_681084,计算机绘图与CAD,未标注,工学,design_context_engineering:工程|计算机
C_681087,纪录片专题研究,未标注,教育学,fallback:generic_course
C_681088,会计学基础,未标注,管理学,override:会计学
C_681091,足球竞赛规则与裁判法分析,未标注,教育学,fallback:generic_course
C_681094,智能控制导论,未标注,工学,keywords:算法|网络|控制
C_681100,传统社会的婚姻家庭,未标注,教育学,fallback:generic_course
C_681103,区块链技术入门——高校区块链大赛培训,未标注,工学,keywords:区块链
C_681114,"Hello,心理学",未标注,教育学,keywords:教学|心理
C_681122,船舶文化,未标注,工学,keywords:船舶
C_681130,民族健身操赏析与实操,未标注,艺术学,keywords:艺术|舞蹈
C_681137,跨国经营与管理,未标注,管理学,keywords:管理|人力资源|企业
C_681152,科学传播公开课,未标注,文学,keywords:新闻|传播|媒体
C_681154,大学物理(上),未标注,理学,keywords:物理
C_681158,大学物理(下),未标注,理学,keywords:物理
C_681163,太极拳文化及传统杨氏太极拳教学,未标注,教育学,keywords:教学
C_681169,财务会计进化论,未标注,管理学,keywords:会计|财务|创业
C_681186,超级英雄的物理学——从动漫画及科幻电影学物理（2019秋）,未标注,理学,keywords:物理
C_681197,多益FUN轻松,未标注,文学,keywords:英语
C_681212,设计行不行,未标注,教育学,fallback:generic_course
C_681247,药物滥用与检验概论（2017秋）,未标注,工学,design_context_engineering:检测
C_681250,中草药与生活的奇幻旅程,未标注,医学,keywords:疾病
C_681255,时尚化妆造型,未标注,艺术学,keywords:化妆|造型
C_681299,统计学,未标注,理学,keywords:数学|统计
C_681301,材料学概论,未标注,工学,same_name:材料科学与工程
C_681311,细读张爱玲,未标注,文学,keywords:文学|语言
C_681320,半导体元件物理,未标注,理学,keywords:物理
C_681333,风景园林规划设计I,未标注,农学,override:风景园林
C_681339,服装立体裁剪,未标注,艺术学,override:服装
C_681341,美国社会与文化,未标注,教育学,keywords:教育|教学|教师
C_681353,大学物理（低学时）,未标注,理学,keywords:物理
C_681355,PPT入门到精通,未标注,教育学,fallback:generic_course
C_681362,This is AI,未标注,工学,keywords:人工智能
C_681365,学前儿童发展,未标注,教育学,keywords:学前|人格
C_681369,外贸跟单实务,未标注,教育学,fallback:generic_course
C_681373,建筑工程招投标与合同管理,未标注,工学,keywords:建筑
C_681380,中国广告简史,未标注,文学,keywords:广告
C_681382,国际商务（英语授课),未标注,文学,keywords:英语
C_681400,钢结构设计,未标注,工学,override:钢结构设计
C_681406,环境工程概论,未标注,工学,keywords:环境工程
C_681407,现代企业文化,未标注,管理学,keywords:创业|企业
C_681409,时装工业导论,未标注,艺术学,override:时装
C_681414,飞机推进系统原理,未标注,工学,keywords:航空
C_681421,对外汉语教学概论,未标注,教育学,keywords:教学
C_681422,植物造景,未标注,艺术学,design_context_art:景观
C_681429,土木工程材料,未标注,工学,keywords:土木|材料
C_681432,钢筋混凝土与砌体结构,未标注,工学,keywords:混凝土
C_681439,烹调工艺学,未标注,教育学,keywords:教育
C_681452,航空电机学,未标注,工学,keywords:自动化|航空|电磁场
C_681453,趣谈“一带一路”国家,未标注,教育学,keywords:教学
C_681471,Paracraft创意动画设计,未标注,工学,design_context_engineering:软件
C_681488,大学生职业指导--职业认知与职业生涯规划,未标注,教育学,fallback:generic_course
C_681491,工业文化,未标注,教育学,fallback:generic_course
C_681502,出口业务操作,未标注,经济学,keywords:贸易|保险
C_681503,书法学堂,未标注,艺术学,keywords:艺术|书法
C_681518,在混合云模式中现代化微软应用,未标注,工学,keywords:IC
C_681520,微软智能商业应用,未标注,管理学,keywords:企业
C_681532,王者荣耀荆轲之模型到游戏开发,未标注,工学,keywords:软件|控制
C_681535,智能车制作：底盘结构与调试,未标注,工学,override:智能车
C_681567,编程进阶 —— JavaEE 程序设计,未标注,工学,override:程序设计
C_681573,实战操作 —— Java高级框架应用,未标注,工学,keywords:Java
C_681578,AWS University AWSome Day（认证课程）,未标注,工学,override:AWS
C_681580,无服务器架构系列讲解 - Lambda + API Gateway,未标注,工学,override:Lambda
C_681581,AWS 云安全--数据加密和密钥管理,未标注,工学,override:AWS
C_681583,AWS云计算数据搜索与分析---Amazon Elasticsearch,未标注,工学,override:AWS
C_681585,云上的数据分析-实时流处理在AWS上的实现与实践,未标注,工学,override:AWS
C_681587,AWS云基础及产品课程（进阶课程）,未标注,工学,override:AWS
C_681588,AWS 云服务部署和迁移课程（进阶课程）,未标注,工学,override:AWS
C_681592,AWS 云计算培训课程-云计算解决方案架构师之路（进阶课程）,未标注,工学,override:AWS
C_681594,大数据专业微学位（进阶课程）,未标注,工学,keywords:机器学习|大数据
C_681599,大数据专业微学位（入门课程）,未标注,工学,keywords:机器学习|大数据|数据可视化|IC
C_681611,民族体育 炫彩云南--云南特有少数民族传统体育文化概述,未标注,教育学,fallback:generic_course
C_681615,酒店英语,未标注,文学,keywords:英语
C_681619,分析化学,未标注,理学,keywords:化学|生物学|地质
C_681622,国际金融,未标注,经济学,keywords:金融
C_681627,国际商务单证实务,未标注,经济学,keywords:贸易
C_681633,城市园林绿地规划原理,未标注,农学,override:园林
C_681635,建筑物理环境（光学）,未标注,理学,keywords:物理|光学
C_681636,中国古代舞蹈史,未标注,艺术学,keywords:艺术|舞蹈
C_681638,工程地质分析原理,未标注,理学,keywords:地质
C_681663,金融活动之初体验,未标注,经济学,keywords:金融
C_681664,步步为营：跨文化商务沟通实战,未标注,管理学,keywords:企业
C_681666,中国文化名著导读,未标注,文学,keywords:国文|名著
C_681669,安装概预算,未标注,工学,keywords:排水
C_681672,园林植物种植设计,未标注,农学,override:园林
C_681679,创新创业基础,未标注,管理学,override:创新创业
C_681681,成为育儿守护家,未标注,教育学,keywords:教学|幼儿|考试
C_681682,数学博弈论,未标注,理学,keywords:数学
C_681683,大学英文经典原著导读,未标注,教育学,keywords:教育
C_681688,批判性思维,未标注,教育学,fallback:generic_course
C_681690,饮食营养与健康,未标注,医学,keywords:疾病|健康
C_681691,与小小孩共谱幸福的乐章,未标注,工学,design_context_engineering:系统
C_681699,中国画基础,未标注,艺术学,keywords:绘画
C_681701,力学模型加工与性能检测,未标注,理学,keywords:物理|力学
C_681702,电力电子技术,未标注,工学,design_context_engineering:系统|电子|自动化
C_681706,零基础晋级高级UI设计师,未标注,艺术学,override:UI设计
C_681707,资讯管理概论－影人入胜,未标注,管理学,keywords:管理|企业
C_681708,创“享”未来—— 大学生创新创业项目设计与实现,未标注,管理学,override:创新创业
C_681710,健康安心的长大,未标注,医学,keywords:护理|健康
C_681711,航空发动机控制,未标注,工学,keywords:控制|航空|飞行
C_681712,10分钟云上部署Web应用程序,未标注,工学,keywords:程序|Web|AWS|IC
C_681719,泵与泵站,未标注,工学,override:泵与泵站
C_681721,亲子创意游戏多,未标注,医学,keywords:治疗|健康
C_681735,财政学,未标注,经济学,keywords:财政|税收
C_681742,轻松学好统计学,未标注,理学,keywords:统计
C_681754,商务形象设计,未标注,文学,keywords:诗
C_681758,生物化学,未标注,医学,keywords:医学|临床|公共卫生|医学生
C_681761,Code+程序设计大赛习题讲解,未标注,工学,override:程序设计
C_682126,工程流体力学,未标注,理学,keywords:力学
C_682128,制浆原理与工程,未标注,理学,keywords:物理|力学|化学
C_682129,软件理论基础,未标注,工学,keywords:软件
C_682137,电力市场概论,未标注,经济学,keywords:经济学|经济
C_682141,酒店房务运营与管理,未标注,管理学,keywords:管理|运营
C_682147,中国哲学新视野,未标注,哲学,keywords:哲学|伦理|儒|道家
C_682149,体育舞蹈与文化,未标注,教育学,keywords:教育|教学|人格
C_682153,物理化学,未标注,理学,keywords:物理|化学
C_682155,数字超大规模集成电路设计,未标注,工学,override:集成电路
C_682157,网球技术动作入门,未标注,教育学,keywords:教学|教师
C_682158,国际服务贸易,未标注,经济学,keywords:贸易
C_682164,清华大学计算机科学与技术系六十周年系庆学术报告（一）理论,未标注,工学,override:大学计算机
C_682169,第二语言习得 (中文版),未标注,工学,design_context_engineering:材料
C_682170,摄影艺术创作,未标注,艺术学,keywords:艺术|影视|摄影|造型
C_682171,采矿学,未标注,工学,override:采矿学
C_682176,分析化学,未标注,理学,keywords:化学
C_682183,数值分析,未标注,理学,keywords:数学|数值分析
C_682185,AP*备考——环境科学，第四部分：考试复习,未标注,教育学,keywords:考试
C_682187,服饰艺术传播与创新设计,未标注,文学,keywords:语言|传播
C_682190,工业生产管理概论,未标注,管理学,keywords:管理|企业|运营
C_682195,明·园境赏析：明代36佳境,未标注,教育学,fallback:generic_course
C_682193,电子政务,未标注,工学,keywords:电子
C_682203,AP*备考——生物学，第五部分：复习及考前准备,未标注,理学,keywords:生物学
C_682208,计算机网络概论,未标注,工学,keywords:计算机|网络
C_682209,工科数学分析（一）,未标注,理学,keywords:数学
C_682219,速成汉语语法课堂,未标注,文学,keywords:语言|汉语
C_682222,信号与系统,未标注,工学,design_context_engineering:系统
C_682226,初级汉语语法,未标注,文学,keywords:汉语
C_682227,投资学,未标注,经济学,keywords:证券|投资
C_682228,数字电子技术,未标注,工学,keywords:电子
C_682240,美术鉴赏,未标注,艺术学,keywords:艺术|美术
C_682260,大学物理-力学和热学,未标注,理学,keywords:物理|力学
C_682259,通信原理,未标注,工学,keywords:通信
C_682265,大学物理-相对论和量子物理,未标注,理学,keywords:物理
C_682263,自动控制原理,未标注,工学,design_context_engineering:系统
C_682267,供暖工程,未标注,工学,override:供暖工程
C_682268,物流管理基础,未标注,管理学,override:物流
C_682273,商务汉语（中国商务概览）,未标注,教育学,keywords:教育|教学|教师
C_682275,解读西夏,未标注,历史学,keywords:历史|佛教
C_682280,基因工程,未标注,工学,design_context_engineering:工程
C_682285,服装概论,未标注,艺术学,override:服装
C_682284,汽车行走的艺术,未标注,艺术学,keywords:艺术
C_682289,线性代数,未标注,理学,keywords:数学|线性代数
C_682296,数学建模案例选讲,未标注,理学,keywords:数学
C_682297,探秘身边的材料——材料与社会,未标注,工学,keywords:材料
C_682298,数字电子技术,未标注,工学,design_context_engineering:电子|电路|测试
C_682301,制剂工艺与设计,未标注,艺术学,design_context_art:动画
C_682308,网络安全概述,未标注,工学,keywords:计算机|网络
C_682310,国际贸易,未标注,经济学,keywords:贸易
C_682312,英语漫谈海上新丝路,未标注,文学,keywords:英语
C_682336,计算机程序设计,未标注,工学,override:程序设计
C_682340,神奇的普洱茶,未标注,医学,keywords:健康
C_682338,日语——自游自在日本行,未标注,教育学,fallback:generic_course
C_682344,移动通信技术,未标注,工学,keywords:网络|通信
C_682347,Python零基础证书班 ,未标注,工学,keywords:编程|Python|人工智能
C_682351,五天让你告别Java小白,未标注,工学,design_context_engineering:程序|网络
C_682356,证券投资学,未标注,经济学,keywords:金融|证券|投资
C_682357,基础化学实验,未标注,理学,keywords:化学
C_682361,1周带你玩转Linux,未标注,工学,keywords:程序|网络|自动化|控制
C_682372,晶体光学,未标注,理学,keywords:光学
C_682383,篮球——基本技术,未标注,医学,keywords:健康
C_682387,建筑概预算与工程量清单,未标注,工学,keywords:控制|建筑
C_682392,配送作业组织与实施,未标注,教育学,keywords:教学|考试
C_682396,邮票上的昆虫世界,未标注,哲学,keywords:美学
C_682395,商业逻辑训练营：精英们都在学的底层逻辑,未标注,管理学,keywords:管理|企业|运营
C_682407,计算化学,未标注,理学,keywords:化学
C_682415,《史记》十讲,未标注,教育学,fallback:generic_course
C_682429,平面广告设计,未标注,艺术学,override:广告设计
C_682431,无机化学,未标注,理学,same_name:化学
C_682435,计算机应用基础,未标注,工学,keywords:计算机|操作系统|软件|网络
C_682440,建筑设备工程,未标注,工学,design_context_engineering:工程|设备|建筑
C_682443,数字信号处理,未标注,工学,keywords:芯片
C_682449,汉语语法与语法教学,未标注,工学,design_context_engineering:结构
C_682450,网络价值评估,未标注,工学,keywords:网络
C_682452,现代生物学导论,未标注,理学,keywords:生物学
C_682457,嵌入式系统,未标注,工学,keywords:计算机|物联网|芯片
C_682459,电视摄像,未标注,文学,keywords:广告
C_682460,携手向花间——昆曲经典剧目欣赏,未标注,艺术学,keywords:艺术
C_682464,工程热力学,未标注,理学,keywords:物理|力学|热力学
C_682466,清华院系概览,未标注,教育学,fallback:generic_course
C_682469,线性代数,未标注,理学,keywords:数学|线性代数
C_682470,设计构成,未标注,教育学,fallback:generic_course
C_682473,庄子寓言及其智慧,未标注,文学,keywords:英语
C_682475,欧盟经济,未标注,经济学,keywords:经济
C_682477,《机械制图习题集》典型习题解答,未标注,工学,keywords:机械
C_682479,走近冬奥会,未标注,教育学,fallback:generic_course
C_682480,生理学,未标注,医学,keywords:生理
C_682476,房屋建筑构造,未标注,工学,design_context_engineering:工程|建筑
C_682483,冶金反应工程,未标注,工学,design_context_engineering:工程
C_682486,Web设计与应用,未标注,工学,keywords:Java|Web|HTML|CSS
C_682488,矿井通风,未标注,工学,override:矿井通风
C_682487,网页创意与艺术设计,未标注,艺术学,override:艺术设计
C_682489,简明大学化学物质结构部分入门,未标注,理学,keywords:化学
C_682491,中级日语听说,未标注,教育学,fallback:generic_course
C_682493,“做中学”Java程序设计,未标注,工学,override:程序设计
C_682496,太极拳推手,未标注,医学,keywords:疾病
C_682498,玩转英美,未标注,文学,keywords:英语
C_682505,程序设计技术（基于C）-基础,未标注,工学,override:程序设计
C_682509,好心态——如何自己造：心理健康教育,未标注,教育学,keywords:教育|心理
C_682515,系统工程,未标注,工学,design_context_engineering:系统|工程
C_682522,土木工程概论,未标注,工学,keywords:土木
C_682527,数值分析,未标注,理学,keywords:数学|微积分|数值分析
C_682530,市场营销实务,未标注,管理学,override:营销
C_682534,交通运输信号,未标注,工学,keywords:通信|交通
C_682549,大自然中的体育——山地户外运动,未标注,工学,keywords:控制
C_682550,纸包装结构设计,未标注,工学,design_context_engineering:结构
C_682553,组织学,未标注,医学,keywords:医学|免疫|胚胎
C_682558,家庭园艺,未标注,农学,keywords:园艺
C_682556,计算机绘图,未标注,工学,keywords:计算机
C_682562,离散数学概论,未标注,理学,keywords:数学|离散数学
C_682575,劳动关系实务操作,未标注,管理学,keywords:企业
C_682578,高分子化学与物理,未标注,理学,keywords:物理|化学
C_682588,模拟电子技术基础,未标注,工学,override:模拟电子技术
C_682604,现代交换技术,未标注,工学,keywords:网络
C_682644,数据新闻与可视化,未标注,文学,keywords:新闻
C_682643,大学物理-电磁学和光学,未标注,理学,keywords:物理|光学
C_682653,灾害风险管理,未标注,管理学,keywords:管理
C_682656,自然灾害概论,未标注,教育学,fallback:generic_course
C_682662,客户关系管理,未标注,管理学,override:客户关系管理
C_682675,历史认知导论,未标注,历史学,keywords:历史|史学
C_682679,高维看世界,未标注,教育学,fallback:generic_course
C_682683,智能车制作：嵌入式系统,未标注,工学,override:智能车
C_682684,机械精度设计与检测技术,未标注,工学,design_context_engineering:机械|IC|检测
C_682686,大数据分析师（第一期）,未标注,工学,keywords:Python|大数据
C_682692,分析仪器使用与维护,未标注,工学,keywords:仪器
C_707035,现代生活美学——花香茶之道,未标注,哲学,keywords:美学
C_682721,电工基础与电子设计,未标注,工学,override:电子设计
C_682728,现代汉语言语交际,未标注,文学,keywords:语言|汉语
C_682747,现代仪器分析,未标注,工学,keywords:仪器
C_682754,理性色彩 智慧人生,未标注,文学,keywords:传播|广告
C_682756,Age of Sustainable Development,未标注,工学,keywords:IC
C_682762,力学与现代生活——开启科学人生,未标注,理学,keywords:力学
C_682770,分析化学,未标注,理学,keywords:化学
C_682794,儿童性发展与性教育,未标注,教育学,keywords:教育
C_682813,中国现当代文学名著欣赏,未标注,文学,keywords:文学|语言|诗|名著
C_682820,金融学,未标注,经济学,keywords:金融
C_682822,楷书入门,未标注,艺术学,keywords:书法
C_685676,英汉语言对比,未标注,文学,keywords:语言|英语|汉语
C_685684,亚历山大大帝伟大吗？,未标注,军事学,keywords:战争
C_688385,纺织品商检学,未标注,医学,keywords:健康
C_688388,工科数学分析（二）,未标注,理学,keywords:数学
C_688390,智能车制作：电子技术,未标注,工学,override:智能车
C_694147,清华大学计算机科学与技术系六十周年系庆学术报告（二）系统,未标注,工学,override:大学计算机
C_694150,清华大学计算机科学与技术系六十周年系庆学术报告（三）人工智能,未标注,工学,override:大学计算机
C_694149,信息检索,未标注,工学,keywords:数据库|网络
C_694153,清华大学计算机科学与技术系六十周年系庆学术报告（四）大数据,未标注,工学,override:大学计算机
C_694156,数据结构与算法,未标注,工学,override:数据结构
C_694158,大学化学实验,未标注,理学,keywords:化学
C_694160,能源学术英语（Ⅱ）,未标注,工学,keywords:道路|能源
C_694162,机械原理,未标注,工学,design_context_engineering:系统|机械|结构
C_694163,结构抗震设计,未标注,工学,override:结构抗震设计
C_696487,葡萄酒的世界：从葡萄到美酒,未标注,教育学,fallback:generic_course
C_696518,有机结构波谱分析,未标注,教育学,fallback:generic_course
C_696525,现代应用文写作,未标注,文学,keywords:写作
C_696549,操作系统原理,未标注,工学,design_context_engineering:系统|设备
C_696562,宏观经济学,未标注,经济学,keywords:经济学|经济|宏观
C_696563,商务礼仪,未标注,管理学,keywords:管理|企业
C_696555,学会学：学习之道,未标注,教育学,keywords:心理
C_696575,定格身边的美——数码摄影攻略,未标注,艺术学,same_name:艺术学
C_696571,社会保险,未标注,经济学,keywords:保险
C_696581,英语语音,未标注,文学,keywords:英语
C_696596,动画剧本创作,未标注,艺术学,keywords:影视|动画
C_696601,国际结算操作,未标注,经济学,keywords:贸易
C_696610,足球裁判法,未标注,教育学,fallback:generic_course
C_696614,Android应用开发基础,未标注,工学,keywords:网络
C_696617,教育环境中跨文化交流的秘密,未标注,教育学,keywords:教育
C_696625,工业企业消防安全,未标注,管理学,keywords:管理|企业
C_696628,跨境电商实务,未标注,管理学,keywords:电商|创业
C_696633,建筑消防安全,未标注,工学,keywords:建筑|材料
C_696626,大学国文——先秦至唐文学赏析,未标注,文学,keywords:文学|语言|写作|国文
C_696638,时尚网页设计,未标注,工学,keywords:Web|HTML|CSS|网页制作
C_696641,牧草种子学,未标注,教育学,fallback:generic_course
C_696647,外国文学名作赏析,未标注,文学,keywords:文学|国文|名著
C_696649,中原文化（武术篇）,未标注,教育学,override:武术
C_696654,丝路南线民间文学,未标注,文学,keywords:文学
C_696662,创业私董会,未标注,管理学,override:创业
C_696655,大学国文——北宋至现代文学赏析,未标注,文学,same_name:中国语言文学
C_696674,Python 交互式程序设计导论,未标注,工学,override:程序设计
C_696685,我们学习俄语字母,未标注,文学,keywords:语言
C_696686,俄语基础1,未标注,文学,keywords:语言
C_696688,俄语基础2,未标注,文学,keywords:语言
C_696691,俄语基础3,未标注,文学,keywords:语言
C_696689,电路理论,未标注,工学,override:电路
C_696692,投资银行学,未标注,经济学,keywords:金融|投资|资本市场
C_696695,CATTI翻译资格水平考试笔译备考基础课,未标注,文学,keywords:英语|翻译|笔译
C_696696,中华诗词经典吟唱,未标注,文学,keywords:文学|诗
C_696697,管理学原理,未标注,管理学,keywords:管理
C_696699,大学计算机教程,未标注,工学,override:大学计算机
C_696704,信息化教学资源设计与制作——基于PPT数字教学资源开发,未标注,艺术学,design_context_art:动画
C_696705,古代汉语·文选,未标注,文学,keywords:汉语|语文
C_696709,舞蹈形体修塑训练,未标注,艺术学,keywords:艺术|美育|舞蹈
C_696711,高等数学,未标注,理学,keywords:数学|高等数学
C_696722,配送中心设计与管理,未标注,管理学,override:配送中心设计与管理
C_696732,微波技术与天线,未标注,工学,keywords:通信|电子|电磁场
C_696746,系统工程原理,未标注,理学,same_name:系统科学
C_696754,智慧的秘密,未标注,哲学,keywords:哲学
C_696762,AP Environmental Science - Part 1: The Living,未标注,教育学,keywords:考试
C_696767,程序设计基础,未标注,工学,override:程序设计
C_696771,管理学,未标注,管理学,keywords:管理
C_696769,绳索救助技术基础,未标注,教育学,keywords:教学
C_696792,AI技能初体验-DuerOS系统简介（百度云智学院）,未标注,工学,override:AI技能初体验
C_696796,互换性与测量技术基础,未标注,工学,override:互换性
C_696798,AI技能初体验-图像识别（百度云智学院）,未标注,工学,override:AI技能初体验
